COB1,4,37.366656,-120.423602,37.367002,-120.423993,37.367466,-120.423028,37.367245,-120.422783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS HALL,4,37.363748,-120.428449,37.363954,-120.428454,37.36395,-120.427983,37.363748,-120.427983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULARE HALL,4,37.363477,-120.428968,37.363684,-120.42897,37.363686,-120.4285,37.363477,-120.4285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KERN HALL,4,37.363496,-120.428454,37.363706,-120.428454,37.363702,-120.42799,37.3635,-120.427988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALF-DOME RESIDENCE HALL,42,37.364001,-120.430454,37.364172,-120.430455,37.364177,-120.429898,37.364252,-120.429896,37.364254,-120.42983,37.36431,-120.429848,37.364314,-120.42953,37.364481,-120.429532,37.364473,-120.429453,37.364501,-120.429451,37.364521,-120.42937,37.364471,-120.42937,37.364469,-120.429317,37.364259,-120.429315,37.364269,-120.42929,37.364181,-120.429289,37.364181,-120.429333,37.363984,-120.42933,37.363985,-120.429415,37.364024,-120.429397,37.364024,-120.429426,37.363986,-120.429425,37.363986,-120.429527,37.364021,-120.429527,37.364023,-120.42955,37.364074,-120.429549,37.364076,-120.42953,37.364184,-120.429531,37.364179,-120.429842,37.36413,-120.42984,37.364128,-120.429813,37.364053,-120.429813,37.364051,-120.429921,37.364009,-120.429897,37.364008,-120.430002,37.364025,-120.430002,37.364025,-120.430068,37.364008,-120.430067,37.364008,-120.430259,37.364021,-120.430259,37.364022,-120.43033,37.364007,-120.43033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TENAYA HALL,6,37.36346,-120.42927,37.36346,-120.429791,37.363657,-120.429791,37.363656,-120.429505,37.36385,-120.429503,37.363853,-120.42927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATHEDRAL HALL,6,37.363473,-120.430462,37.363849,-120.430463,37.363851,-120.430244,37.363652,-120.430243,37.363659,-120.429817,37.363473,-120.429815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EARLY CHILDHOOD EDUCATION CENTER,12,37.363738,-120.431443,37.363863,-120.431442,37.363866,-120.431184,37.363836,-120.431183,37.363836,-120.431017,37.363863,-120.431017,37.363863,-120.430805,37.363738,-120.430802,37.363737,-120.431012,37.363645,-120.431014,37.363643,-120.43119,37.363737,-120.431192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUSTAINABILITY RESEARCH AND ENGINEERING,4,37.364581,-120.424778,37.36525,-120.42385,37.36501,-120.423514,37.364324,-120.42447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAVILION,4,37.364289,-120.4253,37.364492,-120.424876,37.363977,-120.424264,37.363709,-120.424631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTS AND COMPUTATIONAL SCIENCES,8,37.363583,-120.424456,37.364268,-120.423509,37.364109,-120.423326,37.363873,-120.42365,37.363772,-120.423557,37.363627,-120.42376,37.363686,-120.423851,37.363401,-120.424269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANITE PASS,12,37.36268,-120.426532,37.363583,-120.425289,37.363482,-120.425157,37.36342,-120.425247,37.363349,-120.425159,37.362978,-120.425646,37.36296,-120.425633,37.36288,-120.425745,37.362937,-120.425806,37.362892,-120.425863,37.362861,-120.425821,37.362501,-120.42634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLACIER POINT,14,37.362811,-120.425445,37.363243,-120.424852,37.363259,-120.424868,37.363373,-120.424715,37.36288,-120.424141,37.362837,-120.424194,37.362787,-120.424139,37.362665,-120.424298,37.362819,-120.424477,37.362862,-120.424422,37.363116,-120.424718,37.36293,-120.424966,37.362871,-120.424898,37.362626,-120.425229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE LAKE,67,37.363335,-120.427683,37.363414,-120.427523,37.363499,-120.427401,37.363584,-120.427301,37.363673,-120.42719,37.363728,-120.427111,37.363731,-120.427071,37.363676,-120.426971,37.363645,-120.426908,37.363617,-120.426812,37.363612,-120.426761,37.363613,-120.426706,37.363623,-120.426631,37.363635,-120.426569,37.363663,-120.426435,37.363711,-120.426294,37.363817,-120.426104,37.363837,-120.426062,37.363869,-120.425932,37.363868,-120.425914,37.363845,-120.425866,37.363832,-120.425801,37.363825,-120.425693,37.363835,-120.425639,37.363884,-120.425433,37.363899,-120.425338,37.3639,-120.42527,37.363912,-120.425215,37.363906,-120.425181,37.363875,-120.425131,37.363638,-120.424855,37.363601,-120.424831,37.363575,-120.424835,37.363562,-120.42486,37.363576,-120.424893,37.363574,-120.424986,37.363606,-120.425022,37.363709,-120.425169,37.363032,-120.426102,37.363021,-120.42613,37.36301,-120.426177,37.363008,-120.426233,37.362995,-120.426404,37.362993,-120.426438,37.363008,-120.426501,37.363052,-120.426554,37.363081,-120.426614,37.363102,-120.426667,37.363115,-120.426721,37.363124,-120.426801,37.363118,-120.426861,37.363112,-120.426914,37.36307,-120.427035,37.363058,-120.427117,37.363052,-120.427164,37.363061,-120.427197,37.363088,-120.42724,37.363116,-120.427261,37.363259,-120.427293,37.363286,-120.427315,37.363304,-120.427348,37.363302,-120.427407,37.363266,-120.427527,37.36325,-120.427588,37.363255,-120.427626,37.363269,-120.427659,37.36331,-120.427679
NORTHERN POND,8,37.365376,-120.421142,37.365854,-120.420773,37.365715,-120.420541,37.365611,-120.420492,37.365438,-120.420579,37.365349,-120.420701,37.365299,-120.420991,37.365311,-120.421083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
